# X Y Ux Uy Magnitude
-5.66658e-13 85.0934 2.63371e-17 -0.0452035 0.0452035
0 0 1.24522e-17 3.29516e-29 1.24522e-17
114.301 176 0.109605 -0.0659263 0.127904
-5.56e-13 266.907 2.75708e-17 -0.083017 0.083017
0 649 1.2301e-17 -0.228425 0.228425
395.082 649 0.396922 -0.226327 0.456915
541.164 643 0.542187 -0.225023 0.587028
540.918 649 0.544132 -0.227226 0.58967
868 649 0.868 -0.256616 0.905138
868 0 0.868 0.0321647 0.868596
525.057 -8.7752e-13 0.519715 -0.0129049 0.519875
535.838 47 0.527602 -0.0264916 0.528267
330.943 2.07123e-12 0.326391 -0.0100304 0.326545
236.746 -1.30029e-12 0.236493 -0.00481346 0.236541
243 32 0.238606 -0.0142911 0.239034
79.2536 1.91669e-12 0.0807572 -0.00783608 0.0811364
364.291 189 0.358887 -0.0670892 0.365104
728.692 138 0.718806 -0.0498393 0.720532
567.837 280 0.561936 -0.100327 0.570822
794.21 325 0.789638 -0.122401 0.799069
264.062 347 0.258207 -0.122851 0.285942
197.622 551 0.195243 -0.189687 0.272215
421.187 505 0.418874 -0.177391 0.454888
629.107 482 0.624118 -0.170364 0.646953
836.088 552 0.835062 -0.212771 0.861743
0 74.4568 2.39923e-17 -0.039834 0.039834
0 63.8201 2.44945e-17 -0.0342644 0.0342644
0 53.1834 2.48201e-17 -0.028562 0.028562
0 42.5467 2.50228e-17 -0.0227643 0.0227643
0 31.91 2.50528e-17 -0.0169631 0.0169631
0 21.2734 2.49781e-17 -0.0112234 0.0112234
0 10.6367 2.48994e-17 -0.00557625 0.00557625
10.3256 83.312 0.0105483 -0.0444238 0.045659
20.7857 82.6996 0.0210326 -0.0440495 0.0488132
31.2486 83.264 0.0313858 -0.0440229 0.0540655
41.5822 84.9979 0.0414975 -0.0442656 0.0606753
51.6563 87.8797 0.0512328 -0.0446802 0.0679788
61.3437 91.8728 0.0604594 -0.0451867 0.0754796
70.5222 96.9269 0.0690761 -0.0457783 0.0828683
79.0762 102.978 0.0769951 -0.046537 0.0899663
86.8977 109.951 0.084122 -0.0476255 0.096668
93.8881 117.756 0.0904296 -0.0491374 0.102917
99.9591 126.296 0.0959235 -0.0511044 0.108688
105.034 135.463 0.100589 -0.0534923 0.113928
109.05 145.141 0.104383 -0.0562472 0.118573
111.955 155.209 0.10722 -0.0592876 0.12252
113.712 165.538 0.10899 -0.0625408 0.125659
113.712 186.462 0.109037 -0.0693326 0.129214
111.955 196.791 0.107247 -0.072629 0.129526
109.05 206.859 0.104321 -0.0757463 0.12892
105.034 216.537 0.100358 -0.0785894 0.127468
99.9591 225.704 0.0954557 -0.0810769 0.125241
93.8881 234.244 0.0896911 -0.0831206 0.122285
86.8977 242.049 0.0831225 -0.0846479 0.118636
79.0762 249.022 0.0757876 -0.08563 0.114351
70.5222 255.073 0.0677413 -0.0860881 0.109545
61.3437 260.127 0.0590745 -0.0861065 0.104423
51.6563 264.12 0.0498865 -0.0858289 0.0992737
41.5822 267.002 0.040297 -0.0853798 0.0944117
31.2486 268.736 0.0304066 -0.0848459 0.0901298
20.7857 269.3 0.0203284 -0.084263 0.0866805
10.3256 268.688 0.0101634 -0.0836409 0.0842561
0 637.06 2.63186e-17 -0.222652 0.222652
0 625.119 2.77058e-17 -0.216924 0.216924
0 613.179 2.85198e-17 -0.211493 0.211493
0 601.238 2.93793e-17 -0.206625 0.206625
0 589.298 3.07823e-17 -0.202431 0.202431
0 577.357 3.08733e-17 -0.198816 0.198816
0 565.417 2.75989e-17 -0.196035 0.196035
0 553.477 2.45032e-17 -0.194293 0.194293
0 541.536 2.56127e-17 -0.192759 0.192759
0 529.596 2.86505e-17 -0.190527 0.190527
0 517.655 2.97805e-17 -0.187697 0.187697
0 505.715 2.95179e-17 -0.18441 0.18441
0 493.775 2.92305e-17 -0.180516 0.180516
